City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,twon-brass,4.3151,6.2418,27.35,79,79,4.47,NG,1701207962
327,mikumi,-7.4041,36.9831,23.0,82,58,1.93,TZ,1701207962
328,port lincoln,-34.7333,135.8667,16.38,81,61,7.56,AU,1701207405
329,parkes,-33.1333,148.1833,19.64,84,69,2.24,AU,1701207963
330,wakiso,0.4044,32.4594,21.75,93,48,0.8,UG,1701207963
331,kruisfontein,-34.0033,24.7314,15.58,69,52,8.51,ZA,1701207466
332,celestun,20.8667,-90.4,23.41,87,100,9.48,MX,1701207964
333,muroran,42.3172,140.9881,-0.27,71,98,14.66,JP,1701207964
334,la passe,45.5549,-0.8967,4.13,76,8,1.06,FR,1701207474
335,alaghsas,17.0187,8.0168,26.89,20,36,3.82,NE,1701207489
336,mont-dore,-22.2833,166.5833,27.22,99,100,0.77,NC,1701207965
337,medvezh'yegorsk,62.9167,34.4667,-4.76,96,100,3.29,RU,1701207965
338,ginir,7.1333,40.7,13.59,51,12,2.23,ET,1701207965
339,fauske,67.2588,15.3918,-1.79,74,93,3.17,NO,1701207966
340,krzyz wielkopolski,52.881,16.0112,-3.47,91,35,2.18,PL,1701207966
341,bahia blanca,-38.7196,-62.2724,22.12,78,75,8.75,AR,1701207967
342,dutse,11.7594,9.3392,25.47,22,11,3.67,NG,1701207967
343,maqat,47.65,53.3167,1.32,70,74,4.14,KZ,1701207968
344,high rock,26.6208,-78.2833,22.01,60,93,7.64,BS,1701207968
345,wanning,18.8003,110.3967,23.32,89,95,2.32,CN,1701207968
346,stettler,52.3168,-112.7186,7.86,39,0,3.09,CA,1701207968
347,taoudenni,22.6783,-3.9836,21.02,15,87,3.09,ML,1701207417
348,bovalino,38.149,16.174,19.08,71,74,4.8,IT,1701207969
349,at taj,24.2049,23.2857,15.58,31,0,1.52,LY,1701207969
350,vorkuta,67.5,64.0,-12.48,91,100,3.01,RU,1701207401
351,port macquarie,-31.4333,152.9167,22.72,77,100,5.07,AU,1701207768
352,mazamari,-11.3258,-74.5308,25.24,94,86,0.77,PE,1701207970
353,silver city,32.7701,-108.2803,13.16,49,0,3.6,US,1701207947
354,ceres,37.5949,-120.9577,19.47,36,0,1.54,US,1701207970
355,pinotepa nacional,16.3167,-98.0167,30.71,54,17,3.19,MX,1701207971
356,camarinas,43.1311,-9.1817,16.07,95,100,7.26,ES,1701207971
357,peniche,39.3558,-9.3811,18.49,95,91,6.45,PT,1701207971
358,opuwo,-18.0607,13.84,24.51,59,99,3.21,NA,1701207972
